category,question_original,question_variations,answer,keywords,intent,fallback_clarification,confidence_threshold;
"Registrierung_Benutzerkonto,Was kostet die Registrierung und Nutzung von CreaCheck für CDU-Mitglieder?,[],""Die Registrierung und Nutzung von CreaCheck innerhalb des CDU-Wahlkampfportal ist für sämtliche Mitglieder der CDU kostenfrei und wird von der Landesgeschäftsstelle finanziert. Lediglich bei der Bestellung von Druckprodukten entstehen eigene Kosten, die je nach Auflage und gewählter Bestelloption variieren. Die Erstellung von Social Media Inhalten und die Nutzung des spezialisierten Social Media Editor ist vollständig kostenlos und ihr erstellter Inhalt kann direkt heruntergeladen werden."",""Kosten, Registrierung, Nutzung, CDU-Mitglieder, kostenfrei, Druckprodukte, Social Media"",pricing_registration,Haben Sie Fragen zu den Kosten für Druckprodukte oder Social Media Inhalte?,0.8";
"Registrierung_Benutzerkonto,Wie kann ich mich für das CDU-Wahlkampfportal registrieren?,[],""Als Mitglied der CDU aus einem kooperierenden Landesverband haben Sie die Möglichkeit, sich eigenständig auf dem CDU-Wahlkampfportal zu registrieren. Klicken Sie dazu einfach auf """"Neu registrieren"""" auf der Login-Seite https://cdu-wahlkampf.de/de/signup. Geben Sie anschließend Ihre Stammdaten ein, und Sie erhalten einen Aktivierungslink per E-Mail an die angegebene Mailadresse über den Sie Ihre Registrierung abschließen und ihr Benutzerkonto aktivieren können."",""Registrierung, Portal, CDU-Mitglieder, Login-Seite, Aktivierungslink"",how_to_register,Benötigen Sie Hilfe beim Registrierungsprozess oder beim Erhalt des Aktivierungslinks?,0.8";
"Registrierung_Benutzerkonto,Ich hätte gerne einen Zugang für den Login.,[],""Für einen Zugang ist es notwendig, sich unter cdu-wahlkampf.de oder der spezifischen URL Ihres Landesverbandes zu registrieren. Alternativ können Sie den Link verwenden: https://cdu-wahlkampf.de/de/signup. Wir empfehlen Ihnen die kurzen Videos mit den wichtigsten Informationen rund um das Wahlkampfportal. hier können Sie alle Informationen zur Anwendung, den Möglichkeiten und den einzelnen Funktionen detailliert einsehen. Verwenden sie diesen Link: https://creacheckonlineschulung.com."",""Zugang, Login, Registrierung, URL, Schulungsvideos"",access_login_info,Benötigen Sie Unterstützung bei der Registrierung oder beim Zugriff auf die Schulungsvideos?,0.8";
"Registrierung_Benutzerkonto,""Ich habe keinen Registrierungslink erhalten, was kann ich tun?"",[],""Falls Sie keinen Aktivierungslink erhalten haben, empfehlen wir Ihnen, zunächst Ihren Spam-Ordner zu überprüfen. Sollte die E-Mail auch dort nicht auffindbar sein, nehmen Sie bitte Kontakt mit uns auf. Sie erreichen uns per E-Mail unter dialog@creacheck.com."",""Registrierungslink, keine E-Mail, Spam-Ordner, Support"",troubleshooting_registration_email,""Haben Sie Ihren Spam-Ordner überprüft? Wenn nicht, kontaktieren Sie bitte den Support per E-Mail."",0.8";
"Registrierung_Benutzerkonto,""Ich kann mich nicht registrieren, der Captcha """"Ich bin ein Mensch"""" öffnet sich nicht."",[],""Es gibt keinen allgemein bekannten Grund, weshalb das bei Ihnen nicht funktioniert. Vermutlich gibt es irgendeine individuelle Konfiguration bei Ihnen auf dem Gerät, die das Captcha-Modul verhindert. Wenn Sie nicht weiterkommen, kontaktieren Sie bitte unseren Support per E-Mail dialog@creacheck.com. Übermitteln Sie uns dazu bitte noch, ob Sie am Mac oder unter Windows arbeiten, welchen Browser Sie nutzen und Ihre Handynummer für einen eventuellen Videocall."",""Captcha, Registrierungsproblem, Ich bin ein Mensch, Support, Fehlfunktion"",troubleshooting_captcha,""Können Sie bitte Details zu Ihrem Betriebssystem, Browser und Ihren Kontaktdaten angeben, damit wir Ihnen besser helfen können?"",0.8";
"Registrierung_Benutzerkonto,""Ich bin bei CreaCheck angemeldet, aber habe leider keinen Zugriff auf die in den Schulungsvideos angegebenen Mediathekordnern & Funktionen meines CDU-Landesverbandes."",[],""Es kann sein, dass Sie zwar bei CreaCheck angemeldet sind, aber unter einem anderen Landesverband oder im System der Bundes-JU. Bitte melden Sie sich für den Zugriff auf die Vorlagen und Mediendatenbank Ihres CDU-Landesverbandes hier an: www.cdu-wahlkampf.de (oder die spezifische URL Ihres Landesverbandes). Trotz getrennter Software-Instanzen werden die Userdaten in einer zentralen Datenbank gespeichert. Da die Userzuordnung auf der E-Mail-Adresse basiert, ist die E-Mail-Adresse Ihres aktuellen Kontos bereits belegt und kann nicht noch einmal verwendet werden. Bitte verwenden Sie daher für das neue Konto eine andere E-Mail-Adresse."",""Zugriff, Mediathekordner, Funktionen, CDU-Landesverband, E-Mail-Adresse"",access_denied_media_library,""Haben Sie versucht, sich mit einer anderen E-Mail-Adresse neu zu registrieren?"",0.8";
"Registrierung_Benutzerkonto,""Was kann ich tun, wenn ich mein Passwort vergessen habe?"",[],""Falls Sie Ihr Passwort vergessen haben, können Sie auf der Login-Seite von https://cdu-wahlkampf.de/de/login den Button """"Passwort vergessen"""" verwenden. Alternativ steht Ihnen auch der direkte Link https://cdu-wahlkampf.de/de/forgotpassword zur Verfügung. In der Folge erhalten Sie eine E-Mail, über die Sie Ihr Passwort zurücksetzen bzw. neu festlegen können."",""Passwort vergessen, zurücksetzen, Login-Seite, E-Mail"",password_reset,Haben Sie Ihren Spam-Ordner nach der Passwort-Reset-E-Mail überprüft?,0.8";
"Registrierung_Benutzerkonto,Das Passwort wird nicht akzeptiert und bei Neu-Anforderung kommt keine Mail zum Zurücksetzen.,[],""Vermutlich gibt es in diesem Fall kein Kundenkonto im CreaCheck-System Ihres CDU-Landesverbandes unter dieser E-Mail-Adresse. Versuchen Sie einfach, sich unter www.cdu-wahlkampf.de (oder der spezifischen URL) komplett neu zu registrieren. Sollte dies nicht funktionieren, wenden Sie sich bitte an den CreaCheck-Support."",""Passwortproblem, keine E-Mail, Registrierung, Support"",troubleshooting_password_no_email,""Haben Sie bereits versucht, sich neu zu registrieren?"",0.8";
"Registrierung_Benutzerkonto,Wie kann ich mein Passwort ändern?,[],""Sie können das Passwort selbst über Profil > Passwort ändern > speichern, ändern."",""Passwort ändern, Profil"",change_password,""Benötigen Sie Hilfe beim Navigieren zu den Profileinstellungen, um Ihr Passwort zu ändern?"",0.8";
"Registrierung_Benutzerkonto,Welche Zahlungsmöglichkeiten gibt es?,[],""Die Bezahlung kann per Kreditkarte, PayPal oder auf Rechnung ab einem Mindestbestellwert von 250€ erfolgen. Die Zahlungsart kann im Check-Out ausgewählt werden."",""Zahlungsmöglichkeiten, Kreditkarte, PayPal, Rechnung"",payment_methods,Haben Sie Fragen zu spezifischen Zahlungsarten oder dem Bestellprozess?,0.8";
"Registrierung_Benutzerkonto,Wie kann ich Rechnungen einsehen und herunterladen?,[],Die Rechnungen können nach dem Login im Dashboard unter “letzte Rechnungen” eingesehen und heruntergeladen werden. Alternativ können Sie alle Rechnungen unter „Funktionen“ > Rechnungen einsehen.,""Rechnungen, einsehen, herunterladen, Dashboard"",view_invoices,Benötigen Sie Hilfe beim Navigieren zum Rechnungsbereich oder beim Download von Rechnungen?,0.8";
"Kampagnen_Werbemittel,Wozu dienen Kampagnen?,[],Kampagnen dienen zur Strukturierung der erstellen Werbemittel. Werbemittel können nur in Kampagnen erstellt werden.,""Kampagnen, Strukturierung, Werbemittel"",campaign_purpose,""Möchten Sie wissen, wie Sie eine Kampagne erstellen oder verwalten?"",0.8";
"Kampagnen_Werbemittel,Wie lege ich eine Kampagne an?,[],""Klicken Sie in der oberen Menüleiste auf “Kampagnen”, so gelangen Sie in die Kampagnenübersicht. Klicken Sie nun auf “neue Kampagne anlegen”, benennen Sie diese und passen Sie bei Bedarf den Herausgeber an."",""Kampagne anlegen, Menüleiste, Kampagnenübersicht"",how_to_create_campaign,""Haben Sie Schwierigkeiten, die Kampagnenübersicht zu finden oder die Kampagne zu benennen?"",0.8";
"Kampagnen_Werbemittel,Wie kann ich eine Kampagne umbenennen?,[],Gehen Sie auf die Kampagnenübersicht (Menüleiste Schaltfläche “Kampagnen”). Klicken Sie bei der entsprechenden auf “Kampagne verwalten”. Nun öffnet sich ein neues Fenster. Dort können Sie die Kampagne umbenennen.,""Kampagne umbenennen, Kampagnenübersicht, Kampagne verwalten"",how_to_rename_campaign,""Benötigen Sie Hilfe beim Zugriff auf die Funktion """"Kampagne verwalten""""?"",0.8";
"Kampagnen_Werbemittel,Wie lösche ich eine Kampagne?,[],""Gehen Sie auf die Kampagnenübersicht (Menüleiste Schaltfläche “Kampagnen”). Klicken Sie bei der entsprechenden Kampagne auf den rot hinterlegten Mülleimer, um die Kampagne zu löschen."",""Kampagne löschen, Mülleimer, Kampagnenübersicht"",how_to_delete_campaign,""Sind Sie sicher, dass Sie die Kampagne löschen möchten? Diese Aktion kann nicht rückgängig gemacht werden."",0.8";
"Kampagnen_Werbemittel,Wie erstelle ich ein Werbemittel?,[],""1. Erstellen oder öffnen Sie eine Kampagne. 2. Klicken Sie innerhalb der angelegten Kampagne auf “neues Werbemittel anlegen”. 3. Sie sehen verschiedene Kacheln mit verfügbaren Kategorien. Klicken Sie eine Kategorie an und wählen Sie das gewünschte Werbemittel aus. 4. Scrollen Sie ganz nach unten, benennen Sie das Werbemittel unter “Bezeichnung” und klicken Sie im Anschluss auf “neues Werbemittel anlegen”. Sie gelangen direkt in den Editor."",""Werbemittel erstellen, Kampagne, Kategorien, Editor"",how_to_create_material,Haben Sie Probleme bei der Auswahl der Kategorie oder dem Anlegen des Werbemittels?,0.8";
"Kampagnen_Werbemittel,Wie öffne/bearbeite ich ein bestehendes Werbemittel?,[],""Um ein bereits bestehendes Werbemittel zu öffnen, gehen Sie in die Kampagne und klicken Sie beim entsprechenden Werbemittel unten rechts auf das grün hinterlegte Feld “Editor starten”."",""Werbemittel öffnen, bearbeiten, Kampagne, Editor starten"",how_to_open_edit_material,""Können Sie das """"Editor starten"""" Feld nicht finden?"",0.8";
"Kampagnen_Werbemittel,""Wie bestelle ich ein Werbemittel, ohne den Editor zu starten?"",[],""Um ein Werbemittel zu bestellen, ohne in den Editor zu gehen, klicken Sie in der Übersicht (Kampagnenansicht) beim entsprechenden Werbemittel unten rechts auf “in den Warenkorb”."",""Werbemittel bestellen, ohne Editor, Warenkorb, Übersicht"",how_to_order_material_without_editor,Haben Sie das Werbemittel bereits in den Warenkorb gelegt?,0.8";
"Kampagnen_Werbemittel,Wie lösche ich ein Werbemittel?,[],""Um ein Werbemittel zu löschen, klicken Sie in der Übersicht beim entsprechenden Werbemittel oben links auf das Feld mit den drei Linien. Es öffnet sich ein Dropdown Menü. Dort erscheint nun auch die Option “Löschen”."",""Werbemittel löschen, Übersicht, Dropdown, Löschen"",how_to_delete_material,""Können Sie das Dropdown-Menü nicht öffnen, um die Löschoption zu finden?"",0.8";
"Kampagnen_Werbemittel,""Wie erzeuge ich eine Vorschau-PDF, ohne den Editor zu starten?"",[],""Um schnell eine Vorschau-PDF zu generieren, klicken Sie in der Übersicht beim entsprechenden Werbemittel oben links auf das Feld mit den drei Linien. Es öffnet sich ein Dropdown Menü. Dort erscheint nun auch die Option “Vorschau”."",""Vorschau-PDF, erzeugen, ohne Editor, Übersicht"",how_to_generate_preview_without_editor,""Haben Sie das Werbemittel bereits gespeichert, bevor Sie die Vorschau erstellen?"",0.8";
"Kampagnen_Werbemittel,Wie dupliziere ich ein Werbemittel?,[],Klicken Sie in der Übersicht beim entsprechenden Werbemittel oben links auf das Feld mit den drei Linien. Es öffnet sich ein Dropdown Menü. Dort erscheint nun auch die Option “Duplizieren”.,""Werbemittel duplizieren, Übersicht, Dropdown"",how_to_duplicate_material,Können Sie die Duplizieren-Option im Dropdown-Menü nicht finden?,0.8";
"Kampagnen_Werbemittel,Wie markiere ich ein Werbemittel und wozu dient das?,[],""Klicken Sie in der Übersicht beim entsprechenden Werbemittel oben links auf das Feld mit den drei Linien, wählen Sie “Werbemittel markieren”. Diese Funktion ermöglicht es, Werbemittel in der Kampagnenübersicht unter dem Reiter “Markierte Werbemittel” anzeigen zu lassen."",""Werbemittel markieren, Funktion, Kampagnenübersicht, Reiter"",how_to_mark_material,""Haben Sie versucht, auf das Feld mit den drei Linien zu klicken, um die Markierungsoption zu finden?"",0.8";
"Kampagnen_Werbemittel,Wie kann ich Werbemittel teilen (z.B. innerhalb eines CDU-Kreisverbandes)?,[],""Es besteht die Möglichkeit, die Werbemittel innerhalb eines Kreisverbandes untereinander zu teilen. Klicken Sie in der Übersicht beim entsprechenden Werbemittel oben rechts auf das Teilen-Symbol. Dort können Sie den entsprechenden Benutzer anwählen oder den Namen eintippen. Alle geteilten Werbemittel sind mit einem grün hinterlegten Teilen-Symbol markiert und in der Kategorie “geteilte Werbemittel” aufgeführt."",""Werbemittel teilen, CDU-Kreisverband, Teilen-Symbol, Benutzer"",how_to_share_material,""Stellen Sie sicher, dass Sie das Teilen-Symbol finden und den gewünschten Benutzer korrekt auswählen."",0.8";
"Kampagnen_Werbemittel,Gibt es die Möglichkeit eine Kampagne mit mehreren Usern zu bearbeiten?,[],""Das Teilen und gemeinsame Bearbeiten ist auf Werbemittel-Ebene umgesetzt. Wenn Sie ein Werbemittel anderen Nutzern zur Mitarbeit zur Verfügung stellen möchten, können Sie in der Kampagnenübersicht beim entsprechenden Werbemittel oben rechts auf den Teilen-Button klicken und gezielt Personen aus Ihrem Kreisverband einladen. Sie können festlegen, ob Eingeladene weitere Personen einladen dürfen."",""Kampagne bearbeiten, mehrere User, Teilen, Mitarbeit, Einladen"",collaboration_campaign_editing,""Haben Sie versucht, das Werbemittel über den Teilen-Button an andere Benutzer zu senden?"",0.8";
"Kampagnen_Werbemittel,Wo finde ich ein bestimmtes Produkt? Ich kann irgendwie nur „Social Media“ auswählen.,[],""Ich gehe davon aus, dass Sie gerade am Smartphone sind. Auf dem Smartphone werden nur Social-Media-Elemente zur Bearbeitung angeboten, weil das kleine Display für die allermeisten Drucksachen viel zu fehleranfällig ist. Bitte probieren Sie es über Tablet/Laptop. Wenn Sie die Sicherheitsfunktion umgehen möchten, können Sie im Smartphone-Browser von mobiler auf Desktop-Ansicht umstellen."",""Produkt finden, Social Media, Smartphone, Drucksachen, Desktop-Ansicht"",troubleshooting_product_selection,""Haben Sie versucht, das Portal von einem Tablet oder Laptop aus zu nutzen?"",0.8";
"Kampagnen_Werbemittel,""Ich würde gerne wissen, ab wann es die Vorlagen für die Kommunalwahl gibt?"",[],""Sie finden die gesuchten Vorlagen unter www.cdu-wahlkampf.de (oder der spezifischen URL Ihres Landesverbandes). Bitte melden Sie sich dazu dort an. Falls Ihre letzte Anmeldung länger zurückliegt, stellen Sie sicher, dass Sie im aktuellen Portal registriert sind. Sobald Sie eingeloggt sind, gehen Sie auf den Button """"Kampagnen"""", legen hier eine neue Kampagne an und klicken auf """"Neues Werbemittel anlegen"""". Für zusätzliche Unterstützung finden Sie hier hilfreiche Erklärvideos: https://creacheckonlineschulung.com."",""Vorlagen, Kommunalwahl, Anmeldung, Kampagnen, Erklärvideos"",template_availability_local_election,Haben Sie sich im Portal angemeldet und die Kampagnenübersicht aufgerufen?,0.8";
"Kampagnen_Werbemittel,Welche Werbemittel sind am besten geeignet für einen Wahlkampf?,[],""Für Ihren Wahlkampf bieten sich über CreaCheck besonders folgende Werbemittel an: Social Media Content, Wahlplakate, Flyer und Broschüren, Visitenkarten. Diese Medien können Sie direkt über das System bestellen und drucken lassen."",""Werbemittel, Wahlkampf, geeignet, Social Media, Plakate, Flyer"",recommended_materials_campaign,Benötigen Sie spezifische Empfehlungen für Ihre Zielgruppe oder Region?,0.8";
